Disease_x,Specialist,Name
Heart attack,Cardiologist,"Dr. Richard Mueller, MD, FACC, FACP, FAHA"
Heart attack,Cardiologist,"Dr. Glenn Gandelman, MD, FACC, MPH"
Heart attack,Cardiologist,"Dr. Timothy Jayasundera, MD, FACC"
Heart attack,Cardiologist,"Dr. Abiola Dele-Michael, MD, FACC, MPH"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Fadi Karou, MD, FACC"
Heart attack,Cardiologist,"Dr. Anna Kezerashvili, MD"
Heart attack,Cardiologist,"Dr. Syed Iman Husain, MD"
Heart attack,Cardiologist,"Dr. Kenneth Giedd, MD"
Heart attack,Cardiologist,"Dr. Timothy Jayasundera, MD, FACC"
Heart attack,Cardiologist,"Dr. Bette Kim, MD"
Heart attack,Cardiologist,"Dr. Barry Bellovin, MD"
Heart attack,Cardiologist,"Dr. Sean Kotkin, MD"
Heart attack,Cardiologist,"Dr. Shyam Amin, MD"
Heart attack,Cardiologist,"Dr. Barry Huppert, MD"
Heart attack,Cardiologist,"Dr. Barry Huppert, MD"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Sean Kotkin, MD"
Heart attack,Cardiologist,"Dr. Mayer Rydzinski, MD, FACC"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Sachin Kumar Amruthlal Jain, MD"
Heart attack,Cardiologist,"Dr. Jerome Dubroff, MD"
Heart attack,Cardiologist,"Dr. Nay Htyte, MD, MS, FACC, FSCAI"
Heart attack,Cardiologist,"Dr. Pramod Sanghi, MD"
Heart attack,Cardiologist,"Dr. David Fridman, MD"
Heart attack,Cardiologist,"Dr. Salvatore Cavaleri, MD"
Heart attack,Cardiologist,"Dr. Michael Ghalchi, MD"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. David Fridman, MD"
Heart attack,Cardiologist,"Dr. Vladimir Fridman, MD, FACC, FSCAI"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Nicole Harkin, MD"
Heart attack,Cardiologist,"Dr. Henry D. Wu, MD"
Heart attack,Cardiologist,"Dr. Henry Wu, MD, FACC"
Heart attack,Cardiologist,"Dr. Stephen Weiss, MD"
Heart attack,Cardiologist,"Dr. Stephen Weiss, MD"
Heart attack,Cardiologist,"Dr. Janice Chyou, MD"
Heart attack,Cardiologist,"Dr. Janice Chyou, MD"
Heart attack,Cardiologist,"Dr. Hugo Rosero, DO"
Heart attack,Cardiologist,"Dr. Hugo Rosero, DO"
Heart attack,Cardiologist,"Dr. Shyam Amin, MD"
Heart attack,Cardiologist,"Dr. Herbert Insel, MD, FACC"
Heart attack,Cardiologist,"Dr. Ankit R. Shah, MD"
Heart attack,Cardiologist,"Dr. Ankit R. Shah, MD"
Heart attack,Cardiologist,"Dr. Simon Thein, MD"
Heart attack,Cardiologist,"Dr. Mikhail Kapchits, MD"
Heart attack,Cardiologist,"Dr. Harmesh Mittal, MD"
Heart attack,Cardiologist,"Dr. Sonal Jani, MD"
Heart attack,Cardiologist,"Dr. Anna Kezerashvili, MD"
Heart attack,Cardiologist,"Dr. Aaron Berger, MD"
Heart attack,Cardiologist,"Dr. Janice Chyou, MD"
Heart attack,Cardiologist,"Dr. Olena Dotsenko, MD"
Heart attack,Cardiologist,"Dr. Dmitry Gorelik, MD"
Heart attack,Cardiologist,"Dr. Nicholas DuBois, MD"
Heart attack,Cardiologist,"Dr. Thomas Price, MD"
Heart attack,Cardiologist,"Dr. William Schwartz, MD"
